1686846608225288193,Richard Branson,richardbranson,2023-08-02 21:09:06+00:00,Reading about @VirginVoyages' Eat &amp; Drink Festival is making me hungry… Wonderful to see the festival coming back in August and September: https://t.co/SjZ4NZIxDg https://t.co/7maVsdEY7x,90,9,13,58923
1686421153340919808,Richard Branson,richardbranson,2023-08-01 16:58:29+00:00,It is an honour for @virginhotelsdal to be recognised as a leader in diversity within the Dallas community. Creating an inclusive environment where our guests and teammates always feel welcomed to be who they are has always been our priority at Virgin. https://t.co/tqtknjL7Ek https://t.co/0J3KkM3t9C,185,27,31,54277
1686361471645528064,Richard Branson,richardbranson,2023-08-01 13:01:20+00:00,Anastatia Mayers is set to become the second youngest person to travel to space aboard @VirginGalactic’s upcoming #Galactic02 mission. Anastatia and her mother won the seats in an historic draw which raised $1.7 million for non-profit @SpaceHumanity. https://t.co/ivsSB267GG https://t.co/Ck0xxoBUR8,271,41,40,64144
1686038799887826944,Richard Branson,richardbranson,2023-07-31 15:39:09+00:00,"A wonderful moment – two @VirginLimitedEd chefs working together. Samuel G. Galdón is our chef at Son Bunyola who passionately champions a farm-to-fork cooking style. Yassine Khalal is our delightful chef at Kasbah Tamadot, who makes one of my favourite dishes – Chicken Tagine! https://t.co/MY1J8O964R",272,34,33,75568
1685761500181368833,Richard Branson,richardbranson,2023-07-30 21:17:16+00:00,Lemur energy… https://t.co/EiCmW0uF6O,299,34,28,118788
1684990484547022880,Richard Branson,richardbranson,2023-07-28 18:13:31+00:00,"The best day out on the water. Thanks for the wonderful photos, Peter Wallace. It’s all about the angles! https://t.co/CHax5beDQW",509,40,68,97030
1684925314600677376,Richard Branson,richardbranson,2023-07-28 13:54:34+00:00,No one should be compelled to shake the hand of the aggressor https://t.co/8oGlhoVvV4,17803,2816,2346,1042299
1684896490849026048,Richard Branson,richardbranson,2023-07-28 12:00:01+00:00,"Meet Keisha Schahaff – an entrepreneur &amp; health coach from Antigua and Barbuda. Keisha will soon fly to space on @VirginGalactic’s #Galactic02 mission alongside her daughter, Anastatia, becoming the first astronauts from the Caribbean: https://t.co/T23HORWEhC #Galactic02 https://t.co/uK6OxYydBC",212,43,26,58409
1684575544116146176,Richard Branson,richardbranson,2023-07-27 14:44:42+00:00,"Sky high in New York City with @VirginExpGifts, @VirginHotelsNYC, and @MadeByDyslexia: https://t.co/Z6Q4gRnPi7 https://t.co/IhknHUUaxE",241,33,25,65195
1684200753676660739,Richard Branson,richardbranson,2023-07-26 13:55:25+00:00,"Meet Jon Goodwin, Astronaut 011. Jon is an Olympian and intrepid adventurer who is on the cusp of another extraordinary milestone - becoming an astronaut aboard @VirginGalactic’s first private astronaut mission. Here’s more: https://t.co/q8uXESpwGy #Galactic02 https://t.co/xkj7wPbRqa",255,45,18,58381
1684186989635989506,Richard Branson,richardbranson,2023-07-26 13:00:43+00:00,"How @VirginUnite, Unite BVI and @VirginLimitedEd are working to conserve and rehabilitate mangroves in the Caribbean: https://t.co/qHGRphwURY
 #WorldMangroveDay https://t.co/dwefowJy3L",200,25,19,58567
1683940556064399360,Richard Branson,richardbranson,2023-07-25 20:41:29+00:00,Couldn’t agree more,226,36,34,143313
1683876129726251008,Richard Branson,richardbranson,2023-07-25 16:25:28+00:00,"Love this new campaign from @VirginPlus, obviously! https://t.co/3f9ITtgfrr

#VirginFamily https://t.co/RHRH4f4yI3",160,28,24,69552
1683775531576070147,Richard Branson,richardbranson,2023-07-25 09:45:44+00:00,"“The hijab law is really just the tip of the iceberg when it comes to the discriminatory laws affecting women [in Iran].” Such a powerful interview between @HollyBranson  and human rights lawyer, @GissouNia. Here's more: https://t.co/THDGgZ002o #EndGenderApartheid https://t.co/SKwLZRQdQZ",1109,394,76,147961
1683469858074132480,Richard Branson,richardbranson,2023-07-24 13:31:06+00:00,"Learn more about @VirginGalactic's first private astronaut mission, which will fly to space:
· The first astronauts from the Caribbean
· The first mother-daughter
· The first Olympian
· The second youngest person
· The second person with Parkinson’s: https://t.co/q8uXESpwGy https://t.co/w4QOX3wWq8",352,57,34,85056
1683214572252020738,Richard Branson,richardbranson,2023-07-23 20:36:41+00:00,"Are the current heatwaves evidence that climate change is speeding up?"" Strong analysis via @TheEconomist https://t.co/6Kjvvb9Xmy",230,44,111,127775
1682768859932028930,Richard Branson,richardbranson,2023-07-22 15:05:35+00:00,"Kiting, tennis, chess, dancing, birthday cake, friends and family – a wonderful way to spend the day 🎂 https://t.co/zIih2FQPGU",1161,68,111,136936
1682419878978781184,Richard Branson,richardbranson,2023-07-21 15:58:51+00:00,"The #Galactic02 mission will be @VirginGalactic's seventh spaceflight, second commercial spaceflight and third spaceflight this year: https://t.co/LkDvLbPFit https://t.co/Vkkx33JxOz",198,31,33,57547
1682326043955191808,Richard Branson,richardbranson,2023-07-21 09:45:59+00:00,"It’s time to make drug policies work for people and communities. Decriminalisation, regulation, and harm reduction are sensible, not reckless choices – it is everything else that has failed: https://t.co/klnvrogebM
@globalcdp",862,229,107,116157
1682131689554825218,Richard Branson,richardbranson,2023-07-20 20:53:41+00:00,"So wonderful to have Chris in the #VirginFamily. Chris is a training captain at @VirginAtlantic, as well as a brilliant philanthropist &amp; activist. He started Virgin Adventures in 2008, which has led to over 80 adventures &amp; raised over £1million for deserving causes. Great work. https://t.co/aP8NcqbeIW",159,21,13,63433
1682019494191943680,Richard Branson,richardbranson,2023-07-20 13:27:52+00:00,".@VirginAtlantic is one step closer to operating the world’s first 100% Sustainable Aviation Fuel transatlantic flight, after completing successful engine tests. The historic take-off is set for this coming November. Very exciting: https://t.co/dKCZqVrR2m #VirginFamily https://t.co/W9I6DHehBQ",375,53,40,66920
1681965016633815041,Richard Branson,richardbranson,2023-07-20 09:51:24+00:00,"Brilliant to see @VirginActiveSA donating gym equipment to @superhumans_com – an incredible center in Ukraine that I visited on my last trip, which is rehabilitating people injured in the war: https://t.co/aoNUjxoImN @VirginUnite https://t.co/vdmJPJtY6h",314,56,34,56649
1681791295985967105,Richard Branson,richardbranson,2023-07-19 22:21:05+00:00,Very exciting to see @VirginAustralia unveil its cabin of the future. Take a peek for yourself: https://t.co/DhhOF2LXs1 https://t.co/gReGasSj5d,224,24,39,71829
1681588716240863232,Richard Branson,richardbranson,2023-07-19 08:56:07+00:00,"“To be or not to be, that is the question.” Sergey Brin chose “to be”! While on a @VirginVoyages recently, I loved learning this story of how Shakespeare played a role in the founding of Google: https://t.co/kLpS4FXDRm https://t.co/JCTk9awffF",259,29,49,64450
1681340787978633216,Richard Branson,richardbranson,2023-07-18 16:30:56+00:00,Thank you to everyone for the birthday wishes. I spent the morning kiting to celebrate - lucky to still be able to do challenges like this. Looking forward to a tennis party with our team later. https://t.co/DT8dznnRgH,784,58,124,93397
1681276963988668416,Richard Branson,richardbranson,2023-07-18 12:17:19+00:00,"Wonderful to see how @VirginActiveSA is celebrating #NelsonMandelaDay. With no other agenda than the shared wellbeing of humanity, Madiba made the world a better place and I had the great fortune of being able to call him a friend. Here’s more: https://t.co/0kNhM0pGJ3 https://t.co/WFIz15Ohjs",428,60,61,71586
1680962847377899520,Richard Branson,richardbranson,2023-07-17 15:29:08+00:00,"Deeply troubling to see Iran’s ‘morality police’ back on the streets, arresting and harassing women for not wearing the hijab. #WomenLifeFreedom",3005,915,289,450559
